id,name,rating,review_count,address
wLgAxIB7111BcWLWh7KpFw,La Régalade,4.5,102,"106 rue Saint-Honoré, 75001 Paris, France"
RH5bqc88_M4izFoaPoTW0g,La Grange aux Canards,4.5,25,"23 rue Frédéric Sauton, 75005 Paris, France"
RMawY4F3XYXgFS8tDqIGRg,Le Coq & Fils - The Poultry House,4.5,112,"98 Rue Lepic, 75018 Paris, France"
bEvW28II36r2a-L_TWHS7Q,Poulette,4.5,67,"3 Rue Etienne Marcel, 75001 Paris, France"
AzmLFVuOHT3QbfGcoLe4qg,Happy Caffé,5.0,119,"214 rue de Rivoli, 75001 Paris, France"
PGH7BfXz0PNHuwlSt453rA,Le Boui Boui,4.5,62,"11 rue Marie Stuart, 75002 Paris, France"
YRMHyCvqMz_lLgpqjNj_tw,La Droguerie du Marais,4.5,219,"56 rue des Rosiers, 75004 Paris, France"
KglDmt_BDOEqmBjJ8X2bPQ,Le Relais de l’Entrecôte,4.0,563,"15 rue Marbeuf, 75008 Paris, France"
2JpBWCr2q4934qvRK9WTEw,Carpe Diem Café,4.0,165,"21 rue des Halles, 75001 Paris, France"
ce3vXRUtUKZjbGf2fv8VzQ,Ober Mamma,4.5,307,"107 boulevard Richard Lenoir, 75011 Paris, France"
28m3vU-aLX76lMEyT3WL5Q,Pain Vin Fromages,4.5,266,"3 rue Geoffroy-l'Angevin, 75004 Paris, France"
-JX9WdcLezp4g6Ts8SG8qg,20 Eiffel,4.5,23,"20 rue de Monttessuy, 75007 Paris, France"
_qACPRqSQ6Nvd20H8EY3uw,Frenchie Restaurant,4.5,244,"5-6 rue du Nil, 75002 Paris, France"
1Klp5abILcizWWVuAUW21w,Le Petit Opportun,5.0,4,"2 place Saint Opportune, 75001 Paris, France"
SHENQ1G6NWO6d8OIe_F5TA,Sunday in Soho,4.5,28,"7 rue Saint-Marc, 75002 Paris, France"
FFz-WusZrBYZexKqhqzCkg,L'As du Fallafel,4.5,1952,"34 rue des Rosiers, 75004 Paris, France"
QHYSsmyPJga3GQp5NqKZXw,Ma Salle à Manger,4.0,62,"26 place Dauphine, 75001 Paris, France"
zilE2uoIZQ6fpdWGv4mJXw,L'Estrapade,5.0,47,"15 rue de l'Estrapade, 75005 Paris, France"
PHsKPp496sFZm9K9Xz_TlA,Sanukiya,4.5,385,"9 rue d'Argenteuil, 75001 Paris, France"
PHsKPp496sFZm9K9Xz_TlA,Sanukiya,4.5,385,"9 rue d'Argenteuil, 75001 Paris, France"
XqOlA1nGHcwiMmU2QDtdBQ,L'Auberge du Louvre,4.0,26,"98 rue Saint-Honoré, 75001 Paris, France"
ePu3Me3SA4lVM-wGzKk0xA,Le Bistro Lyonnais,4.5,24,"6 rue Michel Chasles, 75012 Paris, France"
Hxqo84j1PWvo0-HizpHsuA,L'îlot,4.5,66,"4 rue de la Corderie, 75003 Paris, France"
qWY5_v3XjhSfaw3KrS9eOg,Langousta,5.0,41,"20 rue Singer, 75016 Paris, France"
sFdV05m6Pw5Rw6DdrpQlIw,L'Escargot,4.0,284,"38 rue Montorgueil, 75001 Paris, France"
esiPBH3HBjmbhIkqtLjgxA,L'Abreuvoir,4.5,11,"24 rue du Docteur Finlay, 75015 Paris, France"
